DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester,WeekNumberOfMonth,FiscalYearRange,fiscal month number
20220118,18 January 2022,3,TUESDAY,18,18,4,JANUARY,1,1,2022,1,4,2022,2,3,2021-2022,10
20200118,18 January 2020,7,SATURDAY,18,18,3,JANUARY,1,1,2020,1,4,2020,2,3,2019-2020,10
20170318,18 March 2017,7,SATURDAY,18,77,11,MARCH,3,1,2017,1,4,2017,2,3,2016-2017,12
20170118,18 January 2017,4,WEDNESDAY,18,18,3,JANUARY,1,1,2017,1,4,2017,2,3,2016-2017,10
20140318,18 March 2014,3,TUESDAY,18,77,12,MARCH,3,1,2014,1,4,2014,2,3,2013-2014,12
20170218,18 February 2017,7,SATURDAY,18,49,7,FEBRUARY,2,1,2017,1,4,2017,2,3,2016-2017,11
20130118,18 January 2013,6,FRIDAY,18,18,3,JANUARY,1,1,2013,1,4,2013,2,3,2012-2013,10
20240118,18 January 2024,5,THURSDAY,18,18,3,JANUARY,1,1,2024,1,4,2024,2,3,2023-2024,10
20160318,18 March 2016,6,FRIDAY,18,78,12,MARCH,3,1,2016,1,4,2016,2,3,2015-2016,12
20190318,18 March 2019,2,MONDAY,18,77,12,MARCH,3,1,2019,1,4,2019,2,3,2018-2019,12
20160118,18 January 2016,2,MONDAY,18,18,4,JANUARY,1,1,2016,1,4,2016,2,3,2015-2016,10
20230118,18 January 2023,4,WEDNESDAY,18,18,3,JANUARY,1,1,2023,1,4,2023,2,3,2022-2023,10
20240218,18 February 2024,1,SUNDAY,18,49,8,FEBRUARY,2,1,2024,1,4,2024,2,3,2023-2024,11
20190118,18 January 2019,6,FRIDAY,18,18,3,JANUARY,1,1,2019,1,4,2019,2,3,2018-2019,10
20170418,18 April 2017,3,TUESDAY,18,108,16,APRIL,4,2,2017,1,1,2018,1,3,2017-2018,1
20240518,18 May 2024,7,SATURDAY,18,139,20,MAY,5,2,2024,1,1,2025,1,3,2024-2025,2
20150418,18 April 2015,7,SATURDAY,18,108,16,APRIL,4,2,2015,1,1,2016,1,3,2015-2016,1
20130518,18 May 2013,7,SATURDAY,18,138,20,MAY,5,2,2013,1,1,2014,1,3,2013-2014,2
20160518,18 May 2016,4,WEDNESDAY,18,139,21,MAY,5,2,2016,1,1,2017,1,3,2016-2017,2
20190518,18 May 2019,7,SATURDAY,18,138,20,MAY,5,2,2019,1,1,2020,1,3,2019-2020,2
20190418,18 April 2019,5,THURSDAY,18,108,16,APRIL,4,2,2019,1,1,2020,1,3,2019-2020,1
20150618,18 June 2015,5,THURSDAY,18,169,25,JUNE,6,2,2015,1,1,2016,1,3,2015-2016,3
20210418,18 April 2021,1,SUNDAY,18,108,17,APRIL,4,2,2021,1,1,2022,1,3,2021-2022,1
20150518,18 May 2015,2,MONDAY,18,138,21,MAY,5,2,2015,1,1,2016,1,3,2015-2016,2
20210618,18 June 2021,6,FRIDAY,18,169,25,JUNE,6,2,2021,1,1,2022,1,3,2021-2022,3
20140418,18 April 2014,6,FRIDAY,18,108,16,APRIL,4,2,2014,1,1,2015,1,3,2014-2015,1
20240618,18 June 2024,3,TUESDAY,18,170,25,JUNE,6,2,2024,1,1,2025,1,3,2024-2025,3
20250518,18 May 2025,1,SUNDAY,18,138,21,MAY,5,2,2025,1,1,2026,1,3,2025-2026,2
20200518,18 May 2020,2,MONDAY,18,139,21,MAY,5,2,2020,1,1,2021,1,3,2020-2021,2
20230518,18 May 2023,5,THURSDAY,18,138,20,MAY,5,2,2023,1,1,2024,1,3,2023-2024,2
20200618,18 June 2020,5,THURSDAY,18,170,25,JUNE,6,2,2020,1,1,2021,1,3,2020-2021,3
20140518,18 May 2014,1,SUNDAY,18,138,21,MAY,5,2,2014,1,1,2015,1,3,2014-2015,2
20220518,18 May 2022,4,WEDNESDAY,18,138,21,MAY,5,2,2022,1,1,2023,1,3,2022-2023,2
20130618,18 June 2013,3,TUESDAY,18,169,25,JUNE,6,2,2013,1,1,2014,1,3,2013-2014,3
20140618,18 June 2014,4,WEDNESDAY,18,169,25,JUNE,6,2,2014,1,1,2015,1,3,2014-2015,3
20160418,18 April 2016,2,MONDAY,18,109,17,APRIL,4,2,2016,1,1,2017,1,3,2016-2017,1
20170518,18 May 2017,5,THURSDAY,18,138,20,MAY,5,2,2017,1,1,2018,1,3,2017-2018,2
20220618,18 June 2022,7,SATURDAY,18,169,25,JUNE,6,2,2022,1,1,2023,1,3,2022-2023,3
20130418,18 April 2013,5,THURSDAY,18,108,16,APRIL,4,2,2013,1,1,2014,1,3,2013-2014,1
20190618,18 June 2019,3,TUESDAY,18,169,25,JUNE,6,2,2019,1,1,2020,1,3,2019-2020,3
20210518,18 May 2021,3,TUESDAY,18,138,21,MAY,5,2,2021,1,1,2022,1,3,2021-2022,2
20230418,18 April 2023,3,TUESDAY,18,108,16,APRIL,4,2,2023,1,1,2024,1,3,2023-2024,1
20200418,18 April 2020,7,SATURDAY,18,109,16,APRIL,4,2,2020,1,1,2021,1,3,2020-2021,1
20170618,18 June 2017,1,SUNDAY,18,169,25,JUNE,6,2,2017,1,1,2018,1,3,2017-2018,3
20160618,18 June 2016,7,SATURDAY,18,170,25,JUNE,6,2,2016,1,1,2017,1,3,2016-2017,3
20220418,18 April 2022,2,MONDAY,18,108,17,APRIL,4,2,2022,1,1,2023,1,3,2022-2023,1
20240418,18 April 2024,5,THURSDAY,18,109,16,APRIL,4,2,2024,1,1,2025,1,3,2024-2025,1
20180618,18 June 2018,2,MONDAY,18,169,25,JUNE,6,2,2018,1,1,2019,1,3,2018-2019,3
20180518,18 May 2018,6,FRIDAY,18,138,20,MAY,5,2,2018,1,1,2019,1,3,2018-2019,2
20180418,18 April 2018,4,WEDNESDAY,18,108,16,APRIL,4,2,2018,1,1,2019,1,3,2018-2019,1
20250418,18 April 2025,6,FRIDAY,18,108,16,APRIL,4,2,2025,1,1,2026,1,3,2025-2026,1
20250618,18 June 2025,4,WEDNESDAY,18,169,25,JUNE,6,2,2025,1,1,2026,1,3,2025-2026,3
20230618,18 June 2023,1,SUNDAY,18,169,25,JUNE,6,2,2023,1,1,2024,1,3,2023-2024,3
20170718,18 July 2017,3,TUESDAY,18,199,29,JULY,7,3,2017,2,2,2018,1,3,2017-2018,4
20210918,18 September 2021,7,SATURDAY,18,261,38,SEPTEMBER,9,3,2021,2,2,2022,1,3,2021-2022,6
20140818,18 August 2014,2,MONDAY,18,230,34,AUGUST,8,3,2014,2,2,2015,1,3,2014-2015,5
20190718,18 July 2019,5,THURSDAY,18,199,29,JULY,7,3,2019,2,2,2020,1,3,2019-2020,4
20210718,18 July 2021,1,SUNDAY,18,199,30,JULY,7,3,2021,2,2,2022,1,3,2021-2022,4
20150918,18 September 2015,6,FRIDAY,18,261,38,SEPTEMBER,9,3,2015,2,2,2016,1,3,2015-2016,6
20200818,18 August 2020,3,TUESDAY,18,231,34,AUGUST,8,3,2020,2,2,2021,1,3,2020-2021,5
20230818,18 August 2023,6,FRIDAY,18,230,33,AUGUST,8,3,2023,2,2,2024,1,3,2023-2024,5
20140918,18 September 2014,5,THURSDAY,18,261,38,SEPTEMBER,9,3,2014,2,2,2015,1,3,2014-2015,6
20240818,18 August 2024,1,SUNDAY,18,231,34,AUGUST,8,3,2024,2,2,2025,1,3,2024-2025,5
